coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt
15717.076471389766,10968.715138380838,8730.057390707425,6700
16294.496775639713,11372.291073023927,9053.76463894481,6900
16871.852258089035,11775.821701815144,9377.435547471672,7100
17449.17016504232,12179.32606799346,9701.085390822383,7300
18026.444624767755,12582.800067633812,10024.710877248912,7500
18603.766594134948,12986.307273151995,10348.362998027033,7700
19181.13891030587,13389.84966752346,10672.043343696398,7900
19758.559742196834,13793.425970950288,10995.750887734299,8100
20336.082980821826,14197.073849437938,11319.515841949546,8300
20947.756962351043,14624.590680722864,11662.426023531107,8500
21567.842724405993,15057.986751381079,12010.051928315885,8700
22186.304352435072,15491.296120636676,12357.548374957596,8900
22789.386939343414,15925.712286850743,12705.255074395336,9100
23392.71043368568,16360.301984992493,13053.100668787993,9300
23995.81539450105,16794.734267717176,13400.820267880828,9500
24598.946619399154,17229.185469147822,13748.555009505917,9700
25201.987991346003,17663.57194714679,14096.23794649629,9900
25805.11462690758,18098.019842758258,14443.97004214371,10100
26408.25287737473,18532.4761048901,14791.708834354034,10300
27011.356234108072,18966.90723215253,15139.427508614885,10500
27630.448342232132,19412.85547536638,15496.364482483252,10700
28280.542758027368,19881.13549193045,15871.175807741132,10900
28930.574931102223,20349.370673434532,16245.951247017001,11100
29580.37807230829,20817.440877291207,16620.59463818388,11300
30230.529447519486,21285.76192321286,16995.438803339573,11500
30880.34255111572,21753.839303239823,17370.087938313154,11700
31530.457894711704,22222.134394646324,17744.91132947492,11900
32180.316866839486,22690.244814976653,18119.586909907313,12100
32830.256880932786,23158.4136119551,18494.309215008863,12300
33480.46730652319,23626.77719340987,18869.18742560526,12500
34130.42485920359,24094.95862389148,19243.91984256274,12700
34780.18974207387,24563.00126926791,19618.541175922033,12900
35430.195675012066,25031.217549315017,19993.30148647174,13100
36080.37126826296,25499.556040124302,20368.15961451549,13300
36730.2379362168,25967.672003959487,20742.839631969175,13500
37380.19627378411,26435.853999815674,21117.572501452465,13700
38058.22231953362,26924.253900230233,21508.487781744276,13900
38748.326744037484,27421.354172876465,21906.366839970324,14100
39438.73656392296,27918.67442980635,22304.421973617,14300
40128.89973174514,28415.817016801713,22702.33490024809,14500
40819.144181877295,28913.01815357159,23100.2946901187,14700
41509.21097529858,29410.091319564475,23498.152052179405,14900
